Image,MAE,Time(sec),FPS
2011_09_26_drive_0002_sync_0000000005.png,0.8333307504653931,3.6029152870178223,0.27755301480532796
2011_09_26_drive_0002_sync_0000000006.png,0.7277343273162842,0.9164631366729736,1.0911513622144033
2011_09_26_drive_0002_sync_0000000007.png,0.7406088709831238,0.9420638084411621,1.0614992222816682
2011_09_26_drive_0002_sync_0000000008.png,0.8108189105987549,0.9788932800292969,1.0215618192517077
2011_09_26_drive_0002_sync_0000000009.png,0.7547090649604797,1.02146577835083,0.9789853181518359
2011_09_26_drive_0002_sync_0000000010.png,0.8821918964385986,0.9180142879486084,1.0893076645185955
2011_09_26_drive_0002_sync_0000000011.png,0.8352251648902893,0.987384557723999,1.0127766250518244
2011_09_26_drive_0002_sync_0000000012.png,0.867535412311554,0.9578335285186768,1.0440227557564572
2011_09_26_drive_0002_sync_0000000013.png,0.88051438331604,0.9868779182434082,1.0132965603080353
2011_09_26_drive_0002_sync_0000000014.png,0.8786174058914185,0.9379582405090332,1.0661455455173532
